GameID,Temp,DewPoint,Visiability,Humidity,WindSpeed,WindDir,Pressure,Fog,Precipitation,Condition,Rain,Snow,WindChill,HeatIndex
265,87.1,55.9,10,35,0,North,30.12,0,-9999,Partly Cloudy,0,0,-999,85.7
274,64.9,62.1,6,90,9.2,North,29.91,0,0.06,Light Rain,1,0,-999,-9999
308,82.9,44.1,10,25,0,North,29.98,0,-9999,Clear,0,0,-999,-9999
337,75.9,55,10,48,5.8,SSW,30.17,0,-9999,Partly Cloudy,0,0,-999,-9999
365,52,21.9,10,31,11.5,North,30.34,0,-9999,Clear,0,0,-999,-9999
386,69.1,42.1,10,38,0,North,30.33,0,-9999,Partly Cloudy,0,0,-999,-9999
440,46,37,10,71,12.7,WSW,29.39,0,-9999,Mostly Cloudy,0,0,40.2,-9999
457,45,26.1,10,48,0,North,29.98,0,-9999,Scattered Clouds,0,0,-999,-9999
504,66.9,54,10,63,5.8,NNE,30.32,0,-9999,Mostly Cloudy,0,0,-999,-9999
513,75,70,10,84,9.2,ENE,30,0,0.08,Light Rain,1,0,-999,-9999
551,75,55,10,50,11.5,ENE,30.33,0,-9999,Mostly Cloudy,0,0,-999,-9999
575,66.9,44.1,10,44,0,North,30.12,0,-9999,Scattered Clouds,0,0,-999,-9999
587,59,28.9,10,32,6.9,East,30.29,0,-9999,Scattered Clouds,0,0,-999,-9999
613,59,45,10,60,11.5,SSW,30.18,0,-9999,Overcast,0,0,-999,-9999
680,48,26.1,10,42,10.4,NE,30.54,0,-9999,Scattered Clouds,0,0,-999,-9999
713,51.1,34,10,52,4.6,Variable,30.39,0,-9999,Mostly Cloudy,0,0,-999,-9999
739,70,64.9,7,84,3.5,ESE,30.12,0,0,Overcast,0,0,-999,-9999
753,66,57,10,73,3.5,South,30.09,0,-9999,Scattered Clouds,0,0,-999,-9999
792,55.9,52,10,87,8.1,North,30.06,0,-9999,Overcast,0,0,-999,-9999
815,66.9,41,10,39,4.6,Variable,30.12,0,-9999,Clear,0,0,-999,-9999
854,71.1,46,10,41,10.4,SW,30.41,0,-9999,Mostly Cloudy,0,0,-999,-9999
871,55.9,41,10,57,13.8,NNE,30.37,0,-9999,Overcast,0,0,-999,-9999
920,63,60.1,7,90,6.9,SSW,30.06,0,-9999,Overcast,0,0,-999,-9999
